Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2010","2010","kt","8046.708351","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2011","2011","kt","4699.260249","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2012","2012","kt","4657.014162","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2013","2013","kt","5349.007126","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2014","2014","kt","6250.461833","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2015","2015","kt","7344.826963","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2016","2016","kt","6751.914518","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2017","2017","kt","7141.797178","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2018","2018","kt","8144.853449","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2019","2019","kt","8197.300778","E","Estimated value"
